Type de formation,Nom de la région,P-code de la région,Nom de la préfecture,P-code de la préfecture,Nom de la sous-préfecture,P-code de la sous-préfecture,Total des établissements,Établissements formées
#output+type,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm3+name,#adm3+code,#inneed,#reached
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Tougue Ctre,GIN00600510,4,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Bodie,GIN00700101,4,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Dalaba Ctre,GIN00700102,2,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Ditinn,GIN00700103,1,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Kaala,GIN00700104,1,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Kankalabe,GIN00700105,1,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Kebali,GIN00700106,2,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Koba,GIN00700107,1,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Mafara,GIN00700108,3,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Mitty,GIN00700109,1,0
PCI Ebola,Mamou,GIN007,Dalaba,GIN007001,Mombeyah,GIN00700110,2,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Bouliwel,GIN00700201,4,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Dounet,GIN00700202,2,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Gongoret,GIN00700203,4,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Kegneko,GIN00700204,1,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Kounkoure,GIN00700205,2,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Mamou Ctre,GIN00700206,7,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Nyagara,GIN00700207,1,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Oure Kaba,GIN00700208,1,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Poredaka,GIN00700209,4,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Saramoussaya,GIN00700210,2,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Soyah,GIN00700211,1,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Teguereyah,GIN00700212,1,0
PCI Ebola,Mamou,GIN007,Mamou,GIN007002,Timbo,GIN00700213,1,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Bantignel,GIN00700301,4,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Brouwal Tape,GIN00700302,1,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Donghol Touma,GIN00700303,1,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Gongoret,GIN00700304,2,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Ley Miro,GIN00700305,2,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Maci,GIN00700306,5,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Pita Ctre,GIN00700308,8,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Sangareah,GIN00700309,1,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Timbi Madina,GIN00700311,2,0
PCI Ebola,Mamou,GIN007,Pita,GIN007003,Timbi Touni,GIN00700312,4,0
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Beyla Ctre,GIN00800101,12,5
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Boola,GIN00800102,4,2
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Diaraguerela,GIN00800103,5,2
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Diassodou,GIN00800104,3,2
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Fouala,GIN00800105,3,1
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Gbakedou,GIN00800106,6,2
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Gbessoba,GIN00800107,4,2
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Karala,GIN00800108,2,1
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Koumandou,GIN00800109,4,2
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Moussadou,GIN00800110,2,1
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Nionsomoridou,GIN00800111,3,1
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Sakourala,GIN00800112,3,2
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Samana,GIN00800113,4,3
PCI Ebola,Nzerekore,GIN008,Beyla,GIN008001,Sinko,GIN00800114,5,3
PCI Ebola,Nzerekore,GIN008,Gueckedou,GIN008002,Bolodou,GIN00800201,3,0
PCI Ebola,Nzerekore,GIN008,Gueckedou,GIN008002,Fangamadou,GIN00800202,5,0
